subject,shared_images,native_eeg_base_post,native_eeg_adapted_post,native_eeg_delta_post,native_eeg_within_delta,native_meg_base_post,native_meg_adapted_post,native_meg_delta_post,native_meg_within_delta,native_neural_eeg_meg_rho,lowpass_eeg_base_post,lowpass_eeg_adapted_post,lowpass_eeg_delta_post,lowpass_eeg_within_delta,lowpass_meg_base_post,lowpass_meg_adapted_post,lowpass_meg_delta_post,lowpass_meg_within_delta,lowpass_neural_eeg_meg_rho,native_eeg_delta_pre,native_eeg_post_minus_pre,native_meg_delta_pre,native_meg_post_minus_pre,geometry_preservation,native_joint_delta,lowpass_joint_delta,native_both_positive,lowpass_both_positive
sub-01,4000,0.0382864644421247,0.043306234020303,0.0050197695781782,0.0055129230758319,0.040609979667912,0.0426278918527308,0.0020179121848188,0.0008143694299289,-0.0009950096437709,0.040315927945888,0.0450349609378817,0.0047190329919936,0.0050927416326661,0.0367705437569878,0.0386425947740813,0.0018720510170935,0.0009981164005213,-0.0002977631516625,-3.305058304632025e-05,0.0050528201612245,-0.0001925391806781,0.002210451365497,0.9908431090789984,0.0035188408814985,0.0032955420045436,True,True
sub-02,4000,0.0836315900208923,0.0892501697162754,0.005618579695383,0.00545163475686,0.013114023397118,0.0187136734803134,0.0055996500831954,0.003864854732718,0.0282680758060675,0.0768167167092734,0.0825541805831197,0.0057374638738463,0.0054715133442303,0.0106183539151546,0.0162624595504947,0.00564410563534,0.0040530791302421,0.0284090014778866,-0.0002762770566113,0.0058948567519944,9.473989810227044e-05,0.0055049101850931,0.9907891235656162,0.0056091148892892,0.0056907847545931,True,True
sub-03,4000,0.0512161714536726,0.0588916006520633,0.0076754291983907,0.0004459477421784,0.0995261058342927,0.1005943755766571,0.0010682697423643,0.0022358815431308,0.0058860143601376,0.0522967479784967,0.0601879396567832,0.0078911916782864,0.0006016881478103,0.0985529010424207,0.099834593697948,0.0012816926555272,0.002427962720745,0.0055272427202583,-0.0004010398388298,0.0080764690372206,6.628106035228747e-05,0.0010019886820121,0.99022404815552,0.0043718494703775,0.0045864421669068,True,True
sub-04,4000,0.0909149177802681,0.0905107561931943,-0.0004041615870737,-0.0033023097477503,0.0800909069589503,0.074936549587191,-0.0051543573717592,0.0002077046666191,0.0684348125230455,0.0903602558173381,0.0895832177278015,-0.0007770380895365,-0.00342538723066,0.0792278017021595,0.0743402258245291,-0.0048875758776303,3.047582935908344e-05,0.0692095450139677,-0.0002239567539685,-0.0001802048331051,4.282046243817895e-05,-0.0051971778341973,0.9895797664345032,-0.0027792594794164,-0.0028323069835834,False,False
sub-05,3761,0.0553457152166815,0.0570691633779045,0.001723448161223,-0.000345648416086,0.0264625979111456,0.0240840661631828,-0.0023785317479628,-0.0040178050417063,0.0257059225343979,0.0535350882622441,0.0554253547678449,0.0018902665056007,-0.0002954522695974,0.0257393156179138,0.02327677190799,-0.0024625437099237,-0.0041067008417791,0.0275765780071903,0.0004799449673773,0.0012435031938457,8.634191497161083e-05,-0.0024648736629344,0.9900543939694648,-0.0003275417933699,-0.0002861386021614,False,False
sub-06,4000,0.0790778487681184,0.0753075219995439,-0.0037703267685744,-0.0051185309802549,0.0531741786643204,0.0536029032626974,0.0004287245983769,0.0008170944173304,0.0315277567111226,0.0759045392766222,0.072853219418905,-0.0030513198577172,-0.0049741869654917,0.0523825541220158,0.0524223949926896,3.984087067377545e-05,0.0002571049878388,0.0396174084164709,-1.591967144184644e-05,-0.0037544070971325,-0.0002789107448567,0.0007076353432337,0.9908765811377288,-0.0016708010850987,-0.0015057394935217,False,False
sub-07,4000,0.0309010422249614,0.0363847555890674,0.005483713364106,0.0028064219919884,0.0116028248461707,0.0111729974643852,-0.0004298273817855,-0.0008297293067088,0.027960913324469,0.0303052419819708,0.0358445979820454,0.0055393560000746,0.0029715538551435,0.0102745608547011,0.0098472620454299,-0.0004272988092711,-0.0007630128772063,0.0280043504726559,0.0001091803421249,0.005374533021981,0.0004914203442819,-0.0009212477260674,0.9907609383766276,0.0025269429911602,0.0025560285954017,False,False
sub-08,4000,0.0112994746681072,0.019305456243004,0.0080059815748967,0.0072575890531064,0.0973235474914303,0.0960280300536567,-0.0012955174377736,-0.0015175011164871,0.0072714913231966,0.0114171370173347,0.019480260343823,0.0080631233264883,0.0071015395865043,0.0965779539215335,0.0953301630357565,-0.0012477908857769,-0.0013553465020947,0.0084430743914435,-2.9319502589236598e-05,0.0080353010774859,0.0002083916254532,-0.0015039090632268,0.99094379394697,0.0033552320685615,0.0034076662203556,False,False
sub-09,4000,0.0906880193157749,0.092946490939299,0.002258471623524,0.0009363844659965,0.0761120554126288,0.0727029990766183,-0.0034090563360105,-0.0043838693249016,0.0083687108977102,0.0909461214991394,0.0931656533869317,0.0022195318877923,0.0011661717221043,0.0765012813907405,0.0734247120131062,-0.0030765693776343,-0.0041348839787684,0.009232336701309,9.884309597627756e-05,0.0021596285275478,-0.0001305560362919,-0.0032785002997186,0.9911519304533696,-0.0005752923562432,-0.0004285187449209,False,False
sub-10,1000,0.004736620020498,0.0125496200269437,0.0078130000064456,0.0015943170776824,0.0010225962906569,0.0019844512159722,0.0009618549253152,7.041667185931147e-05,-0.0042639647028413,0.0029476853803855,0.0102601272823603,0.0073124419019747,0.0014521159986918,0.0008522597280498,0.0019562548357138,0.0011039951076639,0.0003818771170951,-0.0035781257934386,4.905308474570716e-05,0.0077639469216999,0.0001822050032486,0.0007796499220666,0.982741823071409,0.0043874274658804,0.0042082185048193,True,True
sub-11,1000,0.0763693271364565,0.0763903253312006,2.0998194744187293e-05,-0.0043990253545722,0.0207209601897093,0.0173527920828356,-0.0033681681068737,-0.0026334521835167,0.0160319707983845,0.0759959636518178,0.076046029855651,5.0066203833201706e-05,-0.0043487989724034,0.0230021091159856,0.0190893267843405,-0.003912782331645,-0.002996274075826,0.0150310269475958,0.0002404705081011,-0.0002194723133569,0.0002784584106103,-0.0036466265174841,0.9791029487081732,-0.0016735849560647,-0.0019313580639059,False,False
sub-12,1000,0.027993435964397,0.0255006572375055,-0.0024927787268915,-0.0073013144760851,0.0413457280047736,0.0360493171038392,-0.0052964109009343,-0.0028514289336013,0.0039211222824559,0.0270897920589985,0.0244239626461742,-0.0026658294128243,-0.0074942579992629,0.0420327455816932,0.0366447224271564,-0.0053880231545368,-0.0030027937854063,0.0040867598231093,-0.0003805056392962,-0.0021122730875952,0.0001104430371531,-0.0054068539380875,0.9796786966762618,-0.0038945948139129,-0.0040269262836805,False,False
sub-13,1000,0.0523488059216964,0.0549604299177627,0.0026116239960662,-0.0030180433134616,0.0261793924302938,0.0260821424709108,-9.724995938295912e-05,-0.001478675486495,0.0261523579476572,0.0483355470133994,0.0514567799961582,0.0031212329827588,-0.0028514658783528,0.026274361960729,0.0262961919879996,2.183002727065841e-05,-0.0013192586620435,0.0256440795315866,3.156561832775521e-05,0.0025800583777385,0.000122758344711,-0.0002200083040939,0.9808646850374338,0.0012571870183416,0.0015715315050147,False,True
sub-14,1000,0.0670940249833815,0.0754245296736375,0.0083305046902559,0.0068108315742193,0.0225376507578141,0.0233403673732902,0.0008027166154761,0.0012935343521742,0.000939927761063,0.0652599958249112,0.0737464727794109,0.0084864769544996,0.0069758630180942,0.0241276737360411,0.0248502291472995,0.0007225554112583,0.0013230340948153,-0.0008571927210037,-4.140630497325923e-06,0.0083346453207533,7.363541753093155e-06,0.000795353073723,0.9792327701098223,0.004566610652866,0.004604516182879,True,True
sub-24,1000,0.0296160906646317,0.0297822617482265,0.0001661710835947,-7.41684525798203e-05,-0.009661543089689,-0.0128377894088233,-0.0031762463191342,0.0009461425406286,-0.0052710592561419,0.02955665091788,0.0297873424338276,0.0002306915159476,6.070148871402392e-05,-0.0095067255832751,-0.0125028974781379,-0.0029961718948627,0.0012195305142516,-0.0046663720258244,0.0001770062223259,-1.083513873118225e-05,0.0001311431471055,-0.0033073894662398,0.979884007858792,-0.0015050376177697,-0.0013827401894575,False,False
sub-26,1000,0.0783420694141687,0.082168724562749,0.0038266551485802,0.0033851006518133,0.0334029947689076,0.0343912214888686,0.0009882267199609,0.0007320873644133,0.0075222932534881,0.0795007278284271,0.0827053130472221,0.0032045852187949,0.002718131399134,0.0321018026472128,0.0331142728630738,0.0010124702158609,0.000695734625041,0.007450278102937,0.0001376504905388,0.0036890046580413,-0.0001972126622401,0.0011854393822011,0.9782643188285836,0.0024074409342706,0.0021085277173279,True,True
sub-27,1000,0.0301532357941095,0.0403454927540894,0.0101922569599799,0.0066016646586948,0.0667990744499444,0.0688401670706332,0.0020410926206888,-0.0031295267717919,0.0264863784627604,0.0312906462756466,0.0413632990424591,0.0100726527668125,0.0066524058947377,0.0671404431070789,0.0694289043438562,0.0022884612367772,-0.0029644564231005,0.0260548390828683,0.0004669257933531,0.0097253311666267,-0.00027793626285,0.0023190288835388,0.9789909523103412,0.0061166747903343,0.0061805570017949,True,True
sub-29,1000,0.04598286469848,0.0531249817535235,0.0071421170550435,0.0061158260817709,0.0348273811219491,0.0276625568399418,-0.0071648242820072,-0.0048276301233572,0.0241021103901641,0.0471124564761884,0.0543750888586042,0.0072626323824158,0.0064113334420271,0.0342171622380346,0.0271037584812428,-0.0071134037567917,-0.0047483995677428,0.0262474907434158,0.0009608436776449,0.0061812733773986,3.3997687472491715e-05,-0.0071988219694797,0.978818803452662,-1.1353613481850794e-05,7.461431281204078e-05,False,False
sub-30,1000,0.0175613941865539,0.0235909792251609,0.006029585038607,0.0018150603252157,-0.0008193106265375,0.0030556722430042,0.0038749828695417,0.0047289903357892,0.0140566869801655,0.0159356383201914,0.0216166020874766,0.0056809637672851,0.0014771341489251,-0.0006879033958934,0.0034720430559364,0.0041599464518299,0.0049023663661899,0.0120815696719304,0.000480493878203,0.005549091160404,-0.0002784562588927,0.0041534391284345,0.9813047679603224,0.0049522839540744,0.0049204551095575,True,True
