"kaneshiro_exemplar","cichy_index","category","image_sha256"
"1","1","human bodypart","6cc98574bd295bd80e526f009c079719aeec913063e88d683596e0a88e641c53"
"2","2","human bodypart","1b55917d796c55e6bf01eb82c2054e7dfa2839f40a81cce647398d66ae2c4e54"
"3","3","human bodypart","82bef696f7c8ad4befe30e0078a5ed55f0edf278601bd95b390003ab2bb24392"
"4","4","human bodypart","7a9996dea0e2efe1c188c6dce8e7e888aca2fc51ca0e00689813fb1107a68985"
"5","5","human bodypart","c40a8db0dde24bd52399284f93542474603ee623934a72646419340f5e688374"
"6","6","human bodypart","8406325f3462c528041e6768773b16f766f3ea3e5b831a9f24942e2e603d8bd6"
"7","7","human bodypart","30127a8a04003fec07fd3cdc2b1c66517c85139d585f57e125dc269234dff114"
"8","8","human bodypart","81016b0c6efd6a2023ab24ee37a1daae04d5057fc5e66710521349698b4452ca"
"9","9","human bodypart","814804cd6cf5c01875f649a6fe9e1168d7416e2cbe697efd1fc70410ec995f28"
"10","10","human bodypart","28d400da772f8112e639dd2b0a16b6fca02d10663c00a36cffb0eb927ee4fa77"
"11","11","human bodypart","0f9ab0aa7a866d1ad229e648af6303c79d8cf8f733dc9ee1fa6295c5bd9f4c64"
"12","12","human bodypart","7f7188ce25a683ed4a7cccfb3114217f03efd30e5003c103a5ea6ca1d00de53f"
"13","13","human face","0aea05901e251b76ea07caa50f4e0192701ae76125d6b3f8fe6eac5b35bfa0f0"
"14","14","human face","27273a7a430a58ce6e1c0516d7122f6cd6d759bc309203437e3edec8eba37161"
"15","15","human face","a5cc0737740872896d7a7efdef87e569ab647ce05074028e1926b81319b00273"
"16","16","human face","7e148441ac22b16a7e755ebb19a3e31dfaa3568ec5a244c531bcc5854df9882d"
"17","17","human face","93b8ac441ff44f1bc5982a6104d485ec98b4cf6564b7dcfa238376b972f6a482"
"18","18","human face","66dc0e4a4e6ff6fbe9b0369a622d3d7303c15e752ae5e7064d7936dc58fbbc52"
"19","19","human face","f85db51d4425fc961e7992f2d907ee573c0fcebc1f6d2693afe2dce0bde0f4a8"
